City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,luderitz,-26.6481,15.1594,16.95,79,74,2.93,NA,1680403531
83,lata,40.1629,-8.3327,11.62,95,86,1.31,PT,1680403485
84,shar,49.5886,81.0453,-6.43,52,0,4.79,KZ,1680403531
85,pangai,-19.8,-174.35,26.91,77,9,7.21,TO,1680403531
86,inverell,-29.7833,151.1167,27.04,50,13,1.34,AU,1680403532
87,kirakira,-10.4544,161.9205,29.35,72,100,2.49,SB,1680403532
88,ostrovnoy,68.0531,39.5131,-2.36,73,100,8.6,RU,1680403532
89,muravlenko,63.7898,74.523,0.52,98,100,12.55,RU,1680403533
90,tiksi,71.6872,128.8694,-14.76,80,100,13.38,RU,1680403533
91,ithaca,42.4406,-76.4966,6.16,83,100,8.75,US,1680403410
92,launceston,-41.45,147.1667,18.67,58,100,5.14,AU,1680403533
93,naze,28.3667,129.4833,21.51,72,12,8.14,JP,1680403533
94,erenhot,43.6475,111.9767,8.48,49,100,9.3,CN,1680403534
95,bonavista,48.6499,-53.1147,-0.89,84,100,6.02,CA,1680403534
96,kyzyl-suu,42.3414,78.0056,5.42,27,0,0.26,KG,1680403534
97,le mans,48.0,0.2,8.96,87,75,3.09,FR,1680403432
98,iqaluit,63.7506,-68.5145,-18.15,71,20,1.03,CA,1680403437
99,praia da vitoria,38.7333,-27.0667,18.14,82,40,11.47,PT,1680403535
100,ozernovskiy,51.5,156.5167,-1.02,90,95,5.15,RU,1680403535
101,tazovskiy,67.4667,78.7,0.11,98,100,7.53,RU,1680403535
102,geraldton,-28.7667,114.6,26.23,65,40,5.66,AU,1680403536
103,olafsvik,64.8945,-23.7142,4.24,77,100,11.57,IS,1680403536
104,esperance,-33.8667,121.9,20.93,65,77,3.5,AU,1680403271
105,urucui,-7.2294,-44.5561,23.18,71,99,0.74,BR,1680403536
106,castro,-24.7911,-50.0119,16.47,97,34,2.61,BR,1680403537
107,rafaela,-31.2503,-61.4867,17.77,49,99,0.89,AR,1680403537
108,port elizabeth,-33.918,25.5701,17.16,99,0,0.0,ZA,1680403537
109,port-gentil,-0.7193,8.7815,25.62,83,100,4.24,GA,1680403537
110,yellowknife,62.456,-114.3525,-11.71,72,100,5.14,CA,1680403537
111,plover,44.4564,-89.544,-0.94,79,0,0.45,US,1680403377
112,urumqi,43.801,87.6005,-2.47,37,0,1.0,CN,1680403538
113,tuatapere,-46.1333,167.6833,12.22,71,60,3.8,NZ,1680403538
114,uzyn,49.8262,30.4149,8.12,96,100,3.42,UA,1680403538
115,vestmannaeyjar,63.4427,-20.2734,5.87,63,93,7.71,IS,1680403270
116,avarua,-21.2078,-159.775,28.03,78,75,5.14,CK,1680403387
117,taos,36.4072,-105.5731,8.78,26,0,3.09,US,1680403302
118,helong,42.5397,128.9972,18.47,36,24,2.03,CN,1680403539
119,bratsk,56.1325,101.6142,-9.73,63,20,1.64,RU,1680403310
120,novita,4.9551,-76.6053,23.77,97,100,0.91,CO,1680403539
121,torbay,47.6666,-52.7314,0.32,87,100,9.26,CA,1680403540
122,mehran,33.1222,46.1646,10.62,38,1,3.54,IR,1680403540
123,ponta do sol,32.6667,-17.1,17.85,54,0,2.94,PT,1680403540
124,hofn,64.2539,-15.2082,3.25,66,2,3.05,IS,1680403540
125,riyadh,24.6877,46.7219,12.08,27,21,3.83,SA,1680403113
126,turukhansk,65.8167,87.9833,-4.82,95,100,11.63,RU,1680403541
127,cherskiy,68.75,161.3,-23.19,88,100,1.45,RU,1680403541
128,mvangue,2.9667,11.5167,19.42,99,92,0.93,CM,1680403541
129,mporokoso,-9.3727,30.125,13.77,97,96,1.41,ZM,1680403542
130,ribeira grande,38.5167,-28.7,17.1,88,50,10.28,PT,1680403542
131,boa vista,2.8197,-60.6733,26.99,65,0,7.72,BR,1680403542
132,berlevag,70.8578,29.0864,-3.0,86,100,9.26,NO,1680403423
133,narsaq,60.9167,-46.05,-3.88,71,60,5.0,GL,1680403543
134,taft,31.7471,54.2088,6.97,18,0,2.06,IR,1680403543
135,palmer,42.1584,-72.3287,12.83,76,100,2.57,US,1680403312
136,hami,42.8,93.45,3.83,20,100,2.13,CN,1680403543
137,townsville,-19.25,146.8,32.49,55,41,4.63,AU,1680403543
138,butaritari,3.0707,172.7902,27.69,77,96,6.14,KI,1680403544
139,terra nova,-12.3667,-40.6667,19.2,77,0,1.27,BR,1680403544
140,ulaangom,49.9811,92.0667,-11.1,35,37,5.62,MN,1680403544
141,lavrentiya,65.5833,-171.0,-8.26,81,100,4.49,RU,1680403272
142,airai,-8.9266,125.4092,23.11,64,97,0.98,TL,1680403545
143,makurdi,7.7411,8.5121,28.22,62,96,2.89,NG,1680403545
144,aitape,-3.1374,142.3475,28.81,72,71,1.69,PG,1680403545
145,zarinsk,53.7074,84.9493,-8.73,75,8,2.44,RU,1680403545
146,zhangye,38.9342,100.4517,5.29,31,93,0.36,CN,1680403546
147,berestechko,50.3605,25.1107,7.22,95,100,3.04,UA,1680403546
148,port blair,11.6667,92.75,29.02,70,40,3.09,IN,1680403546
149,sao filipe,14.8961,-24.4956,26.22,48,0,2.96,CV,1680403547
150,sao felix do xingu,-6.6447,-51.995,22.4,97,86,0.73,BR,1680403547
151,mallaig,54.2169,-111.3685,-2.26,95,100,1.68,CA,1680403547
